ID,Code,Location,Prefecture,Site,Receiver,Antenna
電子基準点,,,,,,
局番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
950250,EL05437639503,大山,富山県,グランドサンピア立山,TOPCON NETG5,TPSCR.G5        GSI
950251,EL05436478302,上平,富山県,南砺市立上平中学校,TOPCON NETG5,TPSCR.G5        GSI
950252,EL05636672303,舳倉島,石川県,輪島市立鳳至小・上野台中学校舳倉島分校,TRIMBLE NETR9,TPSCR.G5        GSI
950253,EL05637123103,珠洲,石川県,野々江総合公園,TRIMBLE ALLOY,TRM159900.00    GSI
950254,EL05536460103,志賀,石川県,志賀町立高浜中学校,5700,TRM29659.00
950255,EL05436437103,小松,石川県,ふれあい健康広場,TRIMBLE ALLOY,TRM59800.80     GSI
950256,EL05436159002,白峰,石川県,白峰温泉の里「御前荘」,TRIMBLE ALLOY,TRM159900.00    GSI
950257,EL05436127202,丸岡,福井県,丸岡運動公園,TRIMBLE ALLOY,TRM159900.00    GSI
950258,EL05336748002,大野,福井県,大野市立有終東小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950259,EL05335773901,越前,福井県,越前町立四ヶ浦小学校,TOPCON NETG5,TRM59800.80     GSI
950260,EL05336515502,今庄,福井県,南越前町立湯尾小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950261,EL05335274202,三方,福井県,若狭町立明倫小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950262,EL05335145802,大飯,福井県,おおい町立大飯中学校,TOPCON NETG3,TPSCR.G5        GSI
950263,EL05338622502,小淵沢,山梨県,北杜市立小淵沢小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950264,EL05338459503,牧丘,山梨県,山梨市立牧丘第二小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950265,EL05538136402,山ノ内,長野県,山ノ内町立北小学校,TOPCON NETG5,TRM59800.80     GSI
950266,EL05537064902,白馬,長野県,白馬村村営北部グランド,TOPCON NETG5,TRM59800.80     GSI
950267,EL05438719901,長野,長野県,長野市北堀公園,TRIMBLE ALLOY,TRM159900.00    GSI
950268,EL05438426502,東部,長野県,田沢地区農業集落排水処理場,TRIMBLE ALLOY,TRM159900.00    GSI
950269,EL05438451101,軽井沢,長野県,軽井沢町矢ヶ崎公園,TOPCON NETG5,TRM59800.80     GSI
950270,EL05437378202,豊科,長野県,県民豊科運動広場,TRIMBLE ALLOY,TPSCR.G5        GSI
950271,EL05438215703,和田,長野県,長和町在宅介護支援センター,TOPCON NETG5,TPSCR.G5C       GSI
950272,EL05438135602,八千穂,長野県,佐久穂町千ケ日向総合グウランド,TRIMBLE ALLOY,TRM159900.00    GSI
950273,EL05437174802,塩尻,長野県,長野県畜産試験場,TOPCON NETG5,TRM59800.80     GSI
950274,EL05337554503,上松,長野県,上松町天狗山公園,TRIMBLE ALLOY,TRM59800.80     GSI
950275,EL05338206302,大鹿,長野県,大鹿村中央構造線博物館,TRIMBLE ALLOY,TRM159900.00    GSI
950276,EL05337262501,飯田,長野県,飯田市立丸山小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950277,EL05237778402,南信濃,長野県,飯田市Ｂ＆Ｇ海洋センター,TOPCON NETG5,TRM59800.80     GSI
950278,EL05237649702,根羽,長野県,根羽村山村広場駐車場,TOPCON NETG5,TRM59800.80     GSI
950279,EL05437410101,宮川,岐阜県,飛騨市　宮川スポーツ公園,TRIMBLE ALLOY,TRM159900.00    GSI
950280,EL05436073602,荘川,岐阜県,高山市立荘川小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950281,EL05337746201,高根,岐阜県,高根町緑地広場,TRIMBLE ALLOY,TRM59800.80     GSI
950282,EL05336664902,白鳥,岐阜県,白鳥町ふれあい広場公園,TOPCON NETG5,TRM59800.80     GSI
950283,EL05336570802,八幡,岐阜県,八幡町小野第２公園,TRIMBLE ALLOY,TRM59800.80     GSI
950284,EL05337338302,付知,岐阜県,中津川市付知学童学校給食センター,TRIMBLE ALLOY,TRM59800.80     GSI
950285,EL05336336901,藤橋,岐阜県,森林生態学習舎「自然舎」,TRIMBLE ALLOY,TRM159900.00    GSI
950286,EL05336345801,根尾,岐阜県,根尾村淡墨公園,TOPCON NETG5,TPSCR.G5        GSI
950287,EL05337313301,加茂白川,岐阜県,白川町立白川北小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950288,EL05336158401,本巣,岐阜県,本巣市総合運動場,TRIMBLE ALLOY,TRM59800.80     GSI
950289,EL05337107902,八百津,岐阜県,八百津町立八百津中学校,TRIMBLE ALLOY,TRM59800.80     GSI
950290,EL05336058802,岐阜,岐阜県,岐阜県立岐南工業工業高等学校,5700,TRM29659.00
950291,EL05336044301,垂井,岐阜県,垂井町立東幼稚園,TOPCON NETG5,TPSCR.G5        GSI
950292,EL05337004802,多治見,岐阜県,多治見市旭ヶ丘公園,TRIMBLE ALLOY,TPSCR.G5        GSI
950293,EL05237731202,串原,岐阜県,サンホールくしはら,TOPCON NETG5,TPSCR.G5        GSI
950294,EL05236647701,南濃,岐阜県,海津市立城山小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950295,EL05237473802,春野,静岡県,浜松市立春野北小学校,TOPCON NETG5,TPSCR.G5        GSI
950296,EL05238348102,静岡清水市２,静岡県,東海大学海洋学部,TOPCON NETG5,TRM59800.80     GSI
950297,EL05238273302,天城湯ヶ島２,静岡県,伊豆市鉢窪浄水場前道路脇,TRIMBLE ALLOY,TRM159900.00    GSI
950298,EL05336070403,愛知大口,愛知県,大口町二ツ屋公園,TOPCON NETG5,TPSCR.G5        GSI
950299,EL05236662601,甚目寺,愛知県,甚目寺町立南中学校,TOPCON NETG5,TPSCR.G5        GSI
950300,EL05237526001,愛知豊田,愛知県,豊田市立中金小学校,TOPCON NETG5,TRM59800.80     GSI
950301,EL05237424502,下山,愛知県,豊田市立下山中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950302,EL05237309401,知立,愛知県,知立市立八ッ田小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950303,EL05237320301,額田,愛知県,岡崎市立額田中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950304,EL05236168902,常滑１,愛知県,常滑市小脇公園,TRIMBLE ALLOY,TRM159900.00    GSI
950305,EL05237105902,幡豆,愛知県,幡豆町立幡豆小学校,TOPCON NETG5,TRM59800.80     GSI
950306,EL05137727201,田原,愛知県,田原市立神戸小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950307,EL05137703502,渥美,愛知県,田原市立亀山小学校,TOPCON NETG5,TRM59800.80     GSI
950308,EL05236542003,大安,三重県,いなべ市立石榑小学校,5700,TRM29659.00
950309,EL05236259003,楠,三重県,楠プラザ　楠公民館,TOPCON NETG5,TRM159900.00    GSI
950310,EL05236019401,上野,三重県,伊賀市教育研究センター,TOPCON NETG5,TRM59800.80     GSI
950311,EL05136645402,松阪,三重県,松阪市立徳和小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950312,EL05136521601,飯高,三重県,松阪市立飯高東中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950313,EL05136344303,南島,三重県,南島町立東宮保育所,5700,TRM29659.00
950314,EL05136360502,志摩,三重県,志摩市志摩総合スポーツ公園,TRIMBLE ALLOY,TRM159900.00    GSI
950315,EL05036605602,三重熊野,三重県,熊野市立有馬小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950316,EL05036408002,鵜殿,三重県,紀宝町立うどの幼稚園,TRIMBLE ALLOY,TRM159900.00    GSI
950317,EL05336216502,余呉,滋賀県,（旧）余呉町立片岡小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950318,EL05336105402,マキノ,滋賀県,マキノ林間スポーツセンター多目的グラウンド,TRIMBLE ALLOY,TRM59800.80     GSI
950319,EL05335072303,朽木,滋賀県,高島市立朽木東小学校,TOPCON NETG5,TRM59800.80     GSI
950320,EL05236708502,安曇川,滋賀県,高島市立本庄小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950321,EL05236712803,彦根,滋賀県,大藪児童公園,TRIMBLE ALLOY,TRM159900.00    GSI
950322,EL05235566901,大津１,滋賀県,修景保全対策事業記念公園,TRIMBLE ALLOY,TRM159900.00    GSI
950323,EL05236318103,水口,滋賀県,水口町さつきが丘中央公園,TRIMBLE ALLOY,TRM59800.80     GSI
950324,EL05235372202,大津２,滋賀県,大津市立南郷小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950325,EL05236321302,土山,滋賀県,甲賀市立土山中学校,5700,TRM29659.00
950326,EL05236204402,信楽,滋賀県,甲賀市立信楽中学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950327,EL05335510302,丹後,京都府,京丹後市立宇川小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950328,EL05334276403,久美浜,京都府,京丹後市立川上小学校,TRIMBLE NETR9,TPSCR.G5        GSI
950329,EL05235715303,福知山,京都府,福知山市立日新中学校,TOPCON NETG5,TPSCR.G5        GSI
950330,EL05235665101,京都左京１,京都府,京都市立花背第二中学校,5700,TRM29659.00
950331,EL05235529902,瑞穂,京都府,グリーンランドみずほ,TOPCON NETG5,TPSCR.G5        GSI
950332,EL05235449503,亀岡,京都府,亀岡市旭公園,TOPCON NETG5,TRM59800.80     GSI
950333,EL05235358302,京都西京,京都府,京都市立大枝中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950334,EL05235069902,京都加茂,京都府,加茂町赤田川町民グラウンド,TOPCON NETG5,TRM159900.00    GSI
950335,EL05235153402,交野,大阪府,交野市立岩船小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950336,EL05235041101,大阪,大阪府,銅座公園,JAVAD DELTA-G3T,TRM59800.80     GSI
950337,EL05135633801,堺,大阪府,堺市立八田荘小学校,TOPCON NETG5,TPSCR.G5        GSI
950338,EL05135557001,河南,大阪府,河南町立中村小学校,TRIMBLE ALLOY,TRM159900.00    GSI
