ID,Code,Location,Prefecture,Site,Receiver,Antenna
電子基準点,,,,,,
局番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
950433,EL05032575201,愛媛川内,愛媛県,南方東公園,TRIMBLE ALLOY,TRM159900.00    GSI
950434,EL05032456402,伊予,愛媛県,三秋大原コミュニティ施設（三秋集会所）,TOPCON NETG5,TRM59800.80     GSI
950435,EL05032278502,美川,愛媛県,大川嶺牧場,TOPCON NETG5,TRM59800.80     GSI
950436,EL05032153503,肱川,愛媛県,大洲市立肱川風の博物館・歌麿館,TOPCON NETG5,TPSCR.G5C       GSI
950437,EL04932345402,御荘,愛媛県,愛南町立平城小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950438,EL05033552202,大豊,高知県,アルティ300れいほく21世紀センター,NETR9,TRM59800.80     GSI
950439,EL05033368401,香北,高知県,香美市青少年センター,TOPCON NETG5,TRM59800.80     GSI
950440,EL05034302801,馬路,高知県,ヤナセオートキャンプ場,TRIMBLE ALLOY,TPSCR.G5        GSI
950441,EL05034223202,東洋,高知県,東洋町役場,TOPCON NETG5,TRM159900.00    GSI
950442,EL05033270202,安芸,高知県,安芸市立安芸中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950443,EL05033126202,佐川,高知県,高知県畜産試験場,TRIMBLE NETR9,TPSCR.G5        GSI
950444,EL05034101001,高知田野,高知県,田野町ふれあい広場,TOPCON NETG5,TRM159900.00    GSI
950445,EL05033038201,須崎,高知県,横浪こどもの森駐車場,TOPCON NETG5,TRM59800.80     GSI
950446,EL05032077101,檮原,高知県,特別養護老人ホーム「ふじの家」,5700,TRM29659.00
950447,EL04932660302,西土佐,高知県,四万十市立西土佐中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950448,EL04932378902,大方,高知県,黒潮町立南部保育所,TOPCON NETG5,TRM59800.80     GSI
950449,EL04932250602,高知大月,高知県,旧大月町立弘見中学校,TOPCON NETG5,TRM159900.00    GSI
950450,EL05030224003,前原,福岡県,前原市立怡土小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950451,EL05030240101,筑紫野,福岡県,筑紫野市二日市公園,TRIMBLE ALLOY,TPSCR.G5        GSI
950452,EL05030165601,小石原,福岡県,東峰村立小石原小学校,TOPCON NETG5,TRM59800.80     GSI
950453,EL04930644502,八女,福岡県,八女市立南中学校,TOPCON NETG5,TRM59800.80     GSI
950454,EL04930722102,佐賀,佐賀県,佐賀市立鍋島小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950455,EL04930501701,佐賀鹿島,佐賀県,鹿島市立西部中学校,TOPCON NETG5,TRM59800.80     GSI
950456,EL05129738801,上対馬,長崎県,国民宿舎上対馬荘,TRIMBLE ALLOY,TPSCR.G5        GSI
950457,EL05129322401,美津島,長崎県,対馬市立鷄知中学校,TOPCON NETG5,TPSCR.G5        GSI
950458,EL05029459803,石田,長崎県,ふれあいの森広場,TRIMBLE ALLOY,TRM59800.80     GSI
950459,EL05029043202,平戸,長崎県,ライフカントリー平戸市総合運動公園,TOPCON NETG5,TRM59800.80     GSI
950460,EL04929457501,西海,長崎県,西海市西海北運動場,TOPCON NETG5,TPSCR.G5        GSI
950461,EL04930224102,長崎国見,長崎県,雲仙市立神代小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950462,EL04928060701,福江,長崎県,五島市建設課維持係資材置場,TRIMBLE ALLOY,TPSCR.G5        GSI
950463,EL04830716202,加津佐,長崎県,南島原市立野田小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950464,EL04930342301,玉名,熊本県,玉名市立玉名中学校,TOPCON NETG5,TRM59800.80     GSI
950465,EL04930261102,熊本,熊本県,学校法人九州測量専門学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950466,EL04931008702,清和,熊本県,清和高原天文台,TRIMBLE ALLOY,TRM159900.00    GSI
950467,EL04829379802,天草,熊本県,天草市大江農村広場,TOPCON NETG5,TRM59800.80     GSI
950468,EL04830345002,芦北,熊本県,芦北町立佐敷中学校,TOPCON NETG5,TRM59800.80     GSI
950469,EL04830268402,熊本相良,熊本県,相良村村有地,TRIMBLE ALLOY,TRM159900.00    GSI
950470,EL05031440501,大分国見,大分県,国東市立竹田津小学校,TOPCON NETG5,TRM59800.80     GSI
950471,EL05031119302,本耶馬渓,大分県,禅海ふれあい広場,TRIMBLE ALLOY,TPSCR.G5        GSI
950472,EL04931720702,湯布院,大分県,由布市屋外総合運動場,TOPCON NETG5,TRM159900.00    GSI
950473,EL04931668302,佐賀関,大分県,大分市立こうざき小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950474,EL04931421203,久住,大分県,竹田市立久住中学校,TOPCON NETG5,TRM59800.80     GSI
950475,EL04931348702,大分三重,大分県,豊後大野市総合競技場,TRIMBLE ALLOY,TPSCR.G5        GSI
950476,EL04931064001,北川,宮崎県,北川町鏡山牧場,TOPCON NETG5,TRM59800.80     GSI
950477,EL04931022603,日之影,宮崎県,日之影町立高巣野小学校,TOPCON NETG5,TRM59800.80     GSI
950478,EL04831514101,椎葉,宮崎県,椎葉村総合運動公園,TRIMBLE ALLOY,TPSCR.G5        GSI
950479,EL04831219401,西米良,宮崎県,天包高原広場,TOPCON NETG5,TRM59800.80     GSI
950480,EL04831240102,川南,宮崎県,川南町立国光原中学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950481,EL04731705601,野尻,宮崎県,野尻町農村環境改善センター,TOPCON NETG5,TRM59800.80     GSI
950482,EL04731408101,都城,宮崎県,横市市民広場,TOPCON NETG5,TRM59800.80     GSI
950483,EL04731421901,北郷,宮崎県,北郷町農村公園,TOPCON NETG5,TRM59800.80     GSI
950484,EL04731116701,串間１,宮崎県,串間市総合運動公園,TRIMBLE ALLOY,TPSCR.G5        GSI
950485,EL04830046701,鹿児島大口,鹿児島県,大口市文化会館,TOPCON NETG5,TRM159900.00    GSI
950486,EL04730662001,牧園,鹿児島県,牧園総合支所,TRIMBLE ALLOY,TRM159900.00    GSI
950487,EL04729562302,鹿児島鹿島,鹿児島県,鹿島村蘭牟田村有地,TRIMBLE ALLOY,TRM159900.00    GSI
950488,EL04730426203,串木野,鹿児島県,いちき串木野市立串木野小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950489,EL04730364601,鹿児島福山,鹿児島県,霧島市福地地区体育館,TRIMBLE ALLOY,TRM59800.80     GSI
950490,EL04630658102,指宿,鹿児島県,指宿西公園,TOPCON NETG5,TRM59800.80     GSI
950491,EL04630552702,佐多,鹿児島県,南大隅町さたでいランド,TOPCON NETG5,TRM59800.80     GSI
950492,EL04530673701,中種子,鹿児島県,中種子中央運動公園,TRIMBLE ALLOY,TPSCR.G5        GSI
950493,EL04530455103,上屋久１,鹿児島県,上屋久町肉用牛繁殖育成センター,TOPCON NETG5,TPSCR.G5        GSI
950494,EL04229437903,名瀬,鹿児島県,奄美市あかざき公園,TRIMBLE ALLOY,TPSCR.G5        GSI
950495,EL04028433402,与論,鹿児島県,与論町立与論中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950496,EL04027073101,本部,沖縄県,本部町立上本部中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950497,EL03831519801,南大東,沖縄県,南大東村ひかり公園,TRIMBLE ALLOY,TPSCR.G5        GSI
950498,EL03725120902,城辺,沖縄県,宮古島市いこいの森,TRIMBLE ALLOY,TRM159900.00    GSI
950499,EL03622574502,与那国,沖縄県,与那国町立久部良中学校,NetR9,TRM59800.80     GSI
950500,EL03623561301,西表島,沖縄県,竹富町立うえはら幼稚園,TOPCON NETG5,TRM59800.80     GSI
95105,EL05239414303,初島,静岡県,初島公園,TOPCON NETG5,TPSCR.G5        GSI
95113,EL04939564301,八丈,東京都,八丈町富士野球場,TRIMBLE ALLOY,TRM159900.00    GSI
960501,EL06741516302,利尻,北海道,久連自治会館,TRIMBLE ALLOY,TRM159900.00    GSI
960502,EL06642679701,雄武,北海道,雄武町テニスコート,TOPCON NETG5,TRM59800.80     GSI
960503,EL06643246902,湧別,北海道,湧別町総合体育館,TOPCON NETG5,TRM159900.00    GSI
960504,EL06643203601,滝上,北海道,滝上町役場,TOPCON NETG5,TRM59800.80     GSI
960505,EL06544728302,網走,北海道,網走市立南小学校,TOPCON NETG5,TRM59800.80     GSI
960506,EL06542649601,愛別,北海道,愛別町立愛別小学校,TOPCON NETG5,TRM59800.80     GSI
960507,EL06544509902,美幌,北海道,ひがしまち公園,TRIMBLE ALLOY,TRM159900.00    GSI
960508,EL06542438203,旭川,北海道,旭川市立東光小学校,TOPCON NETG5,TPSCR.G5        GSI
960509,EL06541468901,北竜,北海道,北竜町Ｂ＆Ｇ海洋センター,TOPCON NETG5,TRM59800.80     GSI
960510,EL06542572202,上川,北海道,層雲峡青少年旅行村,TRIMBLE ALLOY,TRM159900.00    GSI
960511,EL06543440601,置戸,北海道,置戸町排雪センター,TRIMBLE ALLOY,TRM59800.80     GSI
960512,EL06445627002,根室３,北海道,根室市立厚床中学校,TOPCON NETG5,TRM59800.80     GSI
960513,EL06544102602,阿寒２,北海道,釧路市立阿寒湖中学校,TRIMBLE ALLOY,TRM59800.80     GSI
960514,EL06542030101,富良野,北海道,富良野市立扇山小学校,TOPCON NETG5,TRM159900.00    GSI
960515,EL06444746701,標茶,北海道,駒ヶ丘総合公園,TOPCON NETG5,TPSCR.G5        GSI
960516,EL06441679101,三笠,北海道,三笠運動公園,TRIMBLE ALLOY,TRM159900.00    GSI
960517,EL06440665802,小樽２,北海道,忍路漁港,TRIMBLE ALLOY,TRM159900.00    GSI
960518,EL06442569402,新得,北海道,新得町総合体育館（サホロアリーナ）,TOPCON NETG5,TRM59800.80     GSI
960519,EL06445643103,根室４,北海道,根室市立落石小学校,TOPCON NETG5,TPSCR.G5        GSI
960520,EL06441449301,江別,北海道,江別市立野幌中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960521,EL06443312301,帯広,北海道,あづさ公園,TOPCON NETG5,TRM159900.00    GSI
960522,EL06441246602,恵庭,北海道,恵庭市立恵庭小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960523,EL06441132202,千歳,北海道,千歳市立支笏湖小学校,TOPCON NETG5,TPSCR.G5        GSI
960524,EL06340677101,壮瞥,北海道,壮瞥町道の駅　そうべつサムズ,5700,TRM29659.00
960525,EL06340666103,虻田,北海道,洞爺湖町立虻田小学校,TOPCON NETG5,TRM59800.80     GSI
960526,EL06340576001,伊達,北海道,伊達市市民プール,TRIMBLE ALLOY,TPSCR.G5        GSI
960527,EL06339037502,奥尻２,北海道,奥尻町総合研修センター,TRIMBLE ALLOY,TRM159900.00    GSI
960528,EL06340154302,砂原,北海道,ふるさと交流館,TOPCON NETG5,TPSCR.G5        GSI
960529,EL06240757702,七飯,北海道,七飯町立軍川小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960530,EL06240506502,上ノ国,北海道,洲根子岬灯台,TOPCON NETG5,TRM59800.80     GSI
960531,EL06444357701,釧路町,北海道,釧路町立仙鳳趾小学校（廃校）,TOPCON NETG5,TRM59800.80     GSI
960532,EL06343125503,えりも２,北海道,猿留川,TOPCON NETG5,TPSCR.G5        GSI
960533,EL06241038502,東通,青森県,東通村立尻屋小学校（廃校）,TRIMBLE ALLOY,TRM159900.00    GSI
960534,EL06140632901,今別,青森県,今別町立今別中学校,TOPCON NETG5,TRM59800.80     GSI
960535,EL06140567502,脇野沢,青森県,むつ市立脇野沢小学校,TOPCON NETG5,TPSCR.G5        GSI
960536,EL06140269902,平内,青森県,平内町立土屋小学校,5700,TRM29659.00
960537,EL06141213002,野辺地,青森県,野辺地町立野辺地小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960538,EL06140044702,浪岡,青森県,青森市立浪岡中学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960539,EL06141031001,三沢,青森県,三沢市木崎野公園,TRIMBLE ALLOY,TRM159900.00    GSI
960540,EL06040734801,弘前,青森県,弘前市立北小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960541,EL06040767402,黒石,青森県,黒石市立大川原小学校沖揚平分校跡地,TRIMBLE ALLOY,TPSCR.G5        GSI
960542,EL06140239601,金木,青森県,金木町芦野グラウンド,TRIMBLE ALLOY,TRM159900.00    GSI
960543,EL05941704502,岩手松尾,岩手県,八幡平市松尾総合支所,TRIMBLE ALLOY,TRM159900.00    GSI
960544,EL05940062102,湯田,岩手県,西和賀町立湯本小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960545,EL05841228102,岩手川崎,岩手県,川崎村老人ホーム「寿松苑」,5700,TRM29659.00
960546,EL05841547602,住田,岩手県,住田町運動公園,TRIMBLE NETR9,TPSCR.G5        GSI
960547,EL05941351401,川井,岩手県,特別養護老人ホーム「心生苑」多目的広場,TRIMBLE ALLOY,TPSCR.G5        GSI
960548,EL05740665702,色麻,宮城県,色麻町立色麻中学校,NetR9,TRM59800.80     GSI
960549,EL05741511702,矢本,宮城県,東松島市立矢本東小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960550,EL05741346001,牡鹿,宮城県,石巻市牡鹿清崎総合運動公園,TOPCON NETG5,TRM59800.80     GSI
960551,EL05939666701,男鹿２,秋田県,男鹿市立船川第一小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960552,EL05940509303,天王,秋田県,潟上市立天王南中学校,TOPCON NETG5,TRM59800.80     GSI
960553,EL05940454801,田沢湖,秋田県,仙北市立生保内中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960554,EL05840643002,湯沢,秋田県,湯沢市立岩崎小学校,TRIMBLE ALLOY,TRM59800.80     GSI
960555,EL05839471402,遊佐,山形県,遊佐町立遊佐中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960556,EL05740529902,村山,山形県,村山市立西郷小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960557,EL05740127101,上山,山形県,上山市立南小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960558,EL05640578502,相馬２,福島県,相馬市立中村第二中学校,NETG3,TRM29659.00
960559,EL05640313601,猪苗代２,福島県,猪苗代町中ノ沢運動場,TRIMBLE ALLOY,TPSCR.G5        GSI
960560,EL05640324901,二本松,福島県,あだたら高原野営場,TOPCON NETG5,TRM59800.80     GSI
960561,EL05640110001,福島郡山２,福島県,郡山市少年湖畔の村,TRIMBLE ALLOY,TRM159900.00    GSI
960562,EL05540769602,福島川内,福島県,川内第５区生活改善センター,5700,TRM29659.00
960563,EL05539541601,舘岩,福島県,南会津町青少年センター跡,TOPCON NETG5,TRM59800.80     GSI
960564,EL05739036601,黒川,新潟県,胎内市立黒川中学校,TOPCON NETG5,TRM59800.80     GSI
960565,EL05738022901,金井,新潟県,佐渡市立金井中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960566,EL05638254601,出雲崎,新潟県,出雲崎町立出雲崎中学校,TRIMBLE ALLOY,TRM59800.80     GSI
960567,EL05638041101,柏崎２,新潟県,柏崎市立鯨波小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960568,EL05539708102,守門,新潟県,魚沼市立守門中学校,TOPCON NETG5,TPSCR.G5        GSI
960569,EL05538416902,新井,新潟県,妙高市立斐太北小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960570,EL05537374102,糸魚川２,新潟県,旧根知小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960571,EL05639500501,小須戸,新潟県,新潟市立小須戸中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960572,EL05537028902,滑川,富山県,滑川市立南部小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960573,EL05437707202,砺波,富山県,砺波海洋センターマリーナ（駐車場）,TRIMBLE ALLOY,TPSCR.G5        GSI
960574,EL05537716101,能都,石川県,能登町立武道場「雄志館」,TRIMBLE ALLOY,TPSCR.G5        GSI
960575,EL05536558701,富来,石川県,志賀町立富来小学校,TRIMBLE NETR9,TPSCR.G5        GSI
960576,EL05536574902,能登島,石川県,七尾市立能登島グラウンド,TOPCON NETG5,TRM59800.80     GSI
960577,EL05536168002,押水,石川県,宝達志水町立押水中学校,TRIMBLE ALLOY,TRM59800.80     GSI
960578,EL05436444802,鳥越,石川県,白山市立鳥越小学校（駐車場）,TOPCON NETG5,TPSCR.G5        GSI
960579,EL05336716401,鯖江,福井県,鯖江市立神明小学校,TOPCON NETG5,TRM159900.00    GSI
960580,EL05336600402,河野,福井県,南越前町立河野中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960581,EL05540039901,里美,茨城県,里美運動公園,TOPCON NETG5,TPSCR.G5C       GSI
960582,EL05439376901,下館,茨城県,筑西市立養蚕小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960583,EL05439173401,石下,茨城県,常総市立飯沼小学校,TRIMBLE NETR9,TPSCR.G5        GSI
960584,EL05440013601,阿見,茨城県,阿見町立阿見第二小学校,TOPCON NETG5,TPSCR.G5        GSI
960585,EL05540314301,那須,栃木県,那須町伊王野山村ひろば,TOPCON NETG5,TRM59800.80     GSI
960586,EL05539367402,塩原,栃木県,那須塩原市立塩原中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960587,EL05539163803,塩谷,栃木県,塩谷町立玉生小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960588,EL05540013202,烏山,栃木県,那須烏山市立七合小学校,TOPCON NETG5,TRM59800.80     GSI
960589,EL05439734901,足尾,栃木県,日光市横根山園地,TOPCON NETG5,TRM59800.80     GSI
960590,EL05440615402,茂木,栃木県,茂木町立並松運動公園,TRIMBLE ALLOY,TPSCR.G5        GSI
960591,EL05438743702,草津,群馬県,草津町立草津小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960592,EL05439208501,藤岡,群馬県,ふじの咲く丘,TRIMBLE ALLOY,TRM59800.80     GSI
960593,EL05438177202,万場,群馬県,みかぼ高原荘,TRIMBLE ALLOY,TPSCR.G5        GSI
960594,EL05239131401,大島３,東京都,大島公園,TOPCON NETG5,TPSCR.G5        GSI
960595,EL05239028803,大島４,東京都,大島町椿公園,TOPCON NETG5,TPSCR.G5        GSI
960596,EL05139622103,利島,東京都,利島村清掃センター,TRIMBLE ALLOY,TRM159900.00    GSI
960597,EL05139319602,式根島,東京都,式根島スポーツ広場,TRIMBLE ALLOY,TRM159900.00    GSI
960598,EL05139218102,神津島２,東京都,名組湾赤崎トンネル入口,TOPCON NETG5,TPSCR.G5        GSI
960599,EL05139141401,三宅３,東京都,三七山スポーツ公園,TRIMBLE ALLOY,TPSCR.G5        GSI
960600,EL05139039802,三宅４,東京都,三宅村立阿古小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960601,EL05039646902,御蔵島,東京都,村道島分線終点駐車場,TOPCON NETG5,TRM59800.80     GSI
960602,EL04839565101,青ヶ島,東京都,向沢取水場,TOPCON NETG5,TPSCR.G5        GSI
960603,EL03942716302,母島,東京都,評議平運動場,TRIMBLE ALLOY,TPSCR.G5        GSI
960604,EL03741123503,硫黄島１,東京都,海上自衛隊硫黄島航空基地,TRIMBLE ALLOY,TRM59800.80     GSI
960605,EL03741120302,硫黄島２,東京都,国有林,TRIMBLE ALLOY,TRM59800.80     GSI
960606,EL05338357501,山梨一宮,山梨県,笛吹市いちのみや桃の里スポーツ公園,TOPCON NETG5,TPSCR.G5        GSI
960607,EL05339201201,道志,山梨県,道志村林間広場,TRIMBLE ALLOY,TRM59800.80     GSI
960608,EL05437278802,松本,長野県,松本市立清水中学校,TOPCON NETG5,TPSCR.G5        GSI
960609,EL05437267902,梓川,長野県,松本市立梓川小学校,TOPCON NETG5,TRM159900.00    GSI
960610,EL05438334901,佐久,長野県,佐久市立平根小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960611,EL05437150402,奈川,長野県,奈川村農村公園,TOPCON NETG5,TPSCR.G5C       GSI
960612,EL05438013703,茅野,長野県,茅野市立北部中学校,TRIMBLE ALLOY,TRM59800.80     GSI
960613,EL05338746601,川上,長野県,川上村農村総合文化センター,TRIMBLE ALLOY,TPSCR.G5        GSI
960614,EL05337645701,三岳,長野県,木曽町北部分館前共有地,TRIMBLE ALLOY,TRM159900.00    GSI
960615,EL05337477801,駒ヶ根,長野県,駒ヶ根市立中沢小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960616,EL05337051402,浪合,長野県,阿智村村有地（通称：馬の背）,TOPCON NETG5,TRM59800.80     GSI
960617,EL05436371201,大野白川,岐阜県,白川村防災グランド,TOPCON NETG5,TRM59800.80     GSI
960618,EL05437324901,上宝,岐阜県,高山市立北稜中学校,TRIMBLE ALLOY,TRM59800.80     GSI
960619,EL05337619602,萩原,岐阜県,下呂市立萩原北中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960620,EL05238262201,賀茂,静岡県,西伊豆町営宇久須キャンプ場,TOPCON NETG5,TRM159900.00    GSI
960621,EL05238674402,裾野２,静岡県,裾野市立深良中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960622,EL05238001702,小笠,静岡県,菊川市立小笠南幼稚園,TOPCON NETG5,TPSCR.G5        GSI
960623,EL05238011401,静岡相良２,静岡県,静岡県相良地殻変動観測施設,TOPCON NETG5,TPSCR.G5        GSI
960624,EL05138709302,大東２,静岡県,掛川市立大浜中学校,TOPCON NETG5,TPSCR.G5        GSI
960625,EL05138716202,浜岡２,静岡県,御前崎市立浜岡東小学校,TOPCON NETG5,TRM59800.80     GSI
960626,EL05238475202,沼津,静岡県,沼津市立静浦東小学校,TOPCON NETG5,TRM159900.00    GSI
960627,EL05440102605,つくば３,茨城県,国土交通省国土地理院,TRIMBLE ALLOY,TRM59800.80     GSI
960628,EL05238073501,下田,静岡県,下田市立稲生沢中学校,TOPCON NETG5,TPSCR.G5        GSI
960629,EL05237608502,瀬戸,愛知県,瀬戸市立西陵小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960630,EL05236670702,名古屋,愛知県,名古屋地方気象台,TOPCON NETG5,TRM159900.00    GSI
960631,EL05236368902,知多,愛知県,知多市立新知小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960632,EL05236268602,常滑２,愛知県,常滑市立鬼崎南小学校,TOPCON NETG5,TRM59800.80     GSI
960633,EL05236456502,桑名,三重県,江場ポンプ場,TRIMBLE ALLOY,TRM159900.00    GSI
960634,EL05236232102,関,三重県,亀山市立関小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960635,EL05136727602,白山,三重県,八ッ山小学校跡地,TRIMBLE ALLOY,TRM159900.00    GSI
960636,EL05136551001,度会,三重県,宮リバー度会パーク,TRIMBLE ALLOY,TPSCR.G5        GSI
960637,EL05136224702,紀伊長島,三重県,紀北町立東小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960638,EL05336120101,虎姫,滋賀県,虎姫町立虎姫小学校,TOPCON NETG5,TRM159900.00    GSI
960639,EL05236500301,野洲,滋賀県,野洲市立祇王小学校,TOPCON NETG5,TRM59800.80     GSI
960640,EL05335402202,網野,京都府,京丹後市立網野中学校,TOPCON NETG5,TPSCR.G5        GSI
960641,EL05335137301,舞鶴,京都府,舞鶴市泉源寺公園,TRIMBLE ALLOY,TRM59800.80     GSI
960642,EL05235743302,京都美山,京都府,南丹市立美山中学校,TRIMBLE ALLOY,TRM159900.00    GSI
960643,EL05235466102,京都左京２,京都府,京都市立宝ヶ池公園,TOPCON NETG5,TPSCR.G5        GSI
960644,EL05235364102,京都伏見,京都府,国立京都教育大学,TRIMBLE ALLOY,TPSCR.G5        GSI
960645,EL05334354402,香住,兵庫県,香美町立奥佐津小学校,TRIMBLE ALLOY,TRM159900.00    GSI
960646,EL05334155801,兵庫日高,兵庫県,植村直己記念スポーツ公園,TRIMBLE ALLOY,TRM59800.80     GSI
960647,EL05235608102,青垣,兵庫県,青垣総合運動公園（グリーンベル青垣）,TOPCON NETG5,TRM59800.80     GSI
960648,EL05234569102,生野,兵庫県,栃原運動広場（林業者等健康増進施設）,TRIMBLE ALLOY,TRM59800.80     GSI
960649,EL05234372502,滝野,兵庫県,加東市滝野公民館（滝野情報交流館）,TRIMBLE NETR9,TRM159900.00    GSI
960650,EL05135347201,かつらぎ,和歌山県,和歌山県立紀北農芸高等学校,TOPCON NETG5,TRM59800.80     GSI
960651,EL05135130403,和歌山清水,和歌山県,有田川町清水行政局,5700,TRM29659.00
960652,EL05135013301,広川,和歌山県,広川町営Ｂ＆Ｇ海洋センター,TRIMBLE ALLOY,TRM159900.00    GSI
960653,EL05035236901,すさみ２,和歌山県,すさみ町立周参見保育所,TRIMBLE ALLOY,TRM159900.00    GSI
960654,EL05333122702,米子,鳥取県,気象庁米子測候所,5700,TRM29659.00
960655,EL05334023602,八東,鳥取県,八頭町立八東小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960656,EL05333217102,美保関,島根県,旧松江市立千酌小学校,TOPCON NETG5,TRM59800.80     GSI
960657,EL05232237601,石見,島根県,邑南町立石見中学校,TRIMBLE NETR9,TPSCR.G5        GSI
960658,EL05132608101,匹見,島根県,益田市立匹見小学校,TOPCON NETG5,TPSCR.G5        GSI
960659,EL05131562902,柿木,島根県,吉賀町立柿木小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
960660,EL05233640502,岡山新庄,岡山県,新庄村総合運動公園,TRIMBLE ALLOY,TPSCR.G5        GSI
960661,,岡山加茂,岡山県,加茂町福祉センター,GP-R1DY,TOP700779A
960662,EL05233339102,神郷,岡山県,新見市立神代保育園,TRIMBLE ALLOY,TPSCR.G5        GSI
960663,EL05232167802,三次,広島県,三次市寺戸浄水場,TOPCON NETG5,TRM159900.00    GSI
960664,EL05233123702,豊松,広島県,陽光の里健康広場,TRIMBLE ALLOY,TPSCR.G5        GSI
960665,EL05132414501,広島佐伯,広島県,佐伯総合スポーツ公園,TRIMBLE ALLOY,TRM159900.00    GSI
960666,EL05132331602,江田島,広島県,石風呂児童公園,TRIMBLE ALLOY,TPSCR.G5        GSI
960667,EL05132275001,木江,広島県,大崎上島町立木江幼稚園,TRIMBLE ALLOY,TRM159900.00    GSI
960668,EL05231111202,萩２,山口県,萩市立見島小学校,TOPCON NETG5,TRM59800.80     GSI
960669,EL05131411403,長門,山口県,小河内公園,TRIMBLE NETR9,TPSCR.G5        GSI
960670,EL05131201502,山口豊田,山口県,下関市立豊田下小学校,TOPCON NETG5,TPSCR.G5        GSI
960671,EL05131064603,徳山,山口県,周南市周南緑地公園,5700,TRM29659.00
960672,EL05032629802,東和,山口県,周防大島町立東和図書館,TOPCON NETG5,TRM59800.80     GSI
960673,EL05134240802,鳴門,徳島県,鳴門市立第一中学校,TOPCON NETG5,TRM159900.00    GSI
960674,EL05133064902,三好,徳島県,東みよし市立給食センター,TRIMBLE NETR9,TPSCR.G5        GSI
960675,EL05034524401,上那賀,徳島県,徳島県立那賀高等学校　平谷分校,TRIMBLE ALLOY,TRM159900.00    GSI
960676,EL05133573902,直島,香川県,直島町ふるさと海の家「つつじ荘」,TOPCON NETG5,TPSCR.G5        GSI
960677,EL05133466202,丸亀,香川県,丸亀市本島公民館,TOPCON NETG5,TRM59800.80     GSI
960678,EL05133310502,弓削,愛媛県,立花様私有地（旧佐島小学校横）,TRIMBLE ALLOY,TPSCR.G5        GSI
960679,EL05032765201,北条,愛媛県,河野別府公園（松山市文化の森公園）,TOPCON NETG5,TPSCR.G5        GSI
960680,EL05032333802,長浜,愛媛県,肱川あらし展望公園,TOPCON NETG5,TPSCR.G5        GSI
960681,EL04932641302,宇和島,愛媛県,宇和島市環境センター,TOPCON NETG5,TRM59800.80     GSI
960682,EL05033538604,高知大川,高知県,（社）大川村ふるさとむら公社,4000SSI,TRM23903.00
960683,EL04933719802,中土佐２,高知県,中土佐ふれあい広場,TOPCON NETG5,TPSCR.G5        GSI
960684,EL04933615002,窪川,高知県,四万十町立窪川中学校,TOPCON NETG5,TRM59800.80     GSI
