36.743026244, 140.49760937
37.018446396, 140.84166208
36.862092127, 140.413281
36.539927565, 140.61184698
37.090711175, 140.90253183
37.089294559, 140.56165485
36.650566688, 140.29343292
36.692455311, 140.15769892
36.952306421, 140.16476714
36.344369226, 140.47634173
37.126293611, 140.2599393
36.542215816, 140.17931697
37.325467082, 140.66212851
37.336695684, 140.80846325
36.854234634, 140.03926463
36.181306785, 140.54449089
36.36491233, 140.07795399
36.598946111, 139.92347411
36.263269239, 140.17427162
36.776371694, 139.85426519
37.560550921, 140.75509918
37.533689307, 141.006638
36.096936757, 140.34315738
36.979581512, 139.8057561
36.300705403, 139.98777255
37.424506699, 140.13588854
37.261071852, 139.87143543
35.955454935, 140.65924286
37.620728694, 140.37291351
35.970409147, 140.40295708
36.106114871, 140.08719644
36.103635624, 140.08631327
36.03134, 140.20244962
37.683306046, 140.46650861
36.401847825, 139.72642777
36.665983736, 139.61925408
37.615951901, 140.20566606
37.566946741, 140.07269193
36.114814006, 139.93150439
36.203672307, 139.81053218
37.097248823, 139.58616881
37.800667113, 140.90811157
35.77730299, 140.64682745
36.624174423, 139.49059611
35.803329975, 140.40701255
35.873648373, 140.14549771
35.94029185, 139.99272722
35.726355274, 140.83723528
36.29516305, 139.54230658
36.010896895, 139.79993659
